연번,년도,학기,학년,분반,개설학부,교과목코드,교과구분,학점부여,교과목명,학점,담당교원,요일/시간
201,2015,1,2,1,인문예술학부,HA2201,인문계열교과선택,일반,철학산책,3,하동윤,월4|수2|금1
202,2015,1,2,2,인문예술학부,HA2201,인문계열교과선택,일반,철학산책,3,하동윤,수1|목6|목7
203,2015,1,2,3,인문예술학부,HA2201,인문계열교과선택,일반,철학산책,3,하동윤,월10|수4|금3
204,2015,1,2,4,인문예술학부,HA2201,인문계열교과선택,일반,철학산책,3,김상균,월7|화1|금6
205,2015,1,1,1,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,수6
206,2015,1,1,2,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,금4
207,2015,1,1,3,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,월4
208,2015,1,1,4,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,수1
209,2015,1,1,5,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,화3
210,2015,1,1,6,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,금6
211,2015,1,1,7,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,월1
212,2015,1,1,8,인문예술학부,HA1801,인문계열교과필수,PF,체육1,1,이민택,화2
213,2015,1,2,1,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,월2
214,2015,1,2,2,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,화7
215,2015,1,2,3,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,수3
216,2015,1,2,4,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,목7
217,2015,1,2,5,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,목2
218,2015,1,2,6,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,목3
219,2015,1,2,7,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,월8
220,2015,1,2,8,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,목9
221,2015,1,2,9,인문예술학부,HA1803,인문계열교과필수,PF,체육3,1,이민택,금7
222,2015,1,2,1,물리지구과학부,PE2101,자연계열교과선택,일반,탐구물리,3,김영환,화6|화7|금4
223,2015,1,2,1,인문예술학부,HA1206,인문계열교과필수,일반,한국사1,2,강재순,월7|금6
224,2015,1,1,1,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,우정임,수6|목8
225,2015,1,1,2,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,강재순,목1|금4
226,2015,1,1,3,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,우정임,월4|수2
227,2015,1,1,4,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,강재순,화4|목7
228,2015,1,1,5,인문예술학부,HA1201,인문계열교과필수,일반,한국사의이해1,2,강재순,화3|수4
